,home_team,away_team,Home Win %,Away Win %,Draw %
0,Mexico,South Africa,37.0,46.0,17.0
1,South Korea,Czechia,38.17,42.5,19.33
2,Canada,Bosnia-Herzegovina,17.6,35.4,47.0
3,United States,Paraguay,65.67,26.0,8.33
4,Qatar,Switzerland,3.33,80.67,16.0
5,Brazil,Morocco,61.32,13.95,24.72
6,Haiti,Scotland,1.83,50.17,48.0
7,Australia,Türkiye,30.08,61.17,8.75
8,Germany,Curaçao,72.97,9.5,17.53
9,Netherlands,Japan,46.44,19.67,33.89
10,Côte d'Ivoire,Ecuador,49.54,30.79,19.67
11,Sweden,Tunisia,67.83,4.33,27.83
12,Belgium,Egypt,68.07,6.75,25.18
13,Spain,Cape Verde,54.05,32.05,13.9
14,Iran,New Zealand,14.0,11.0,75.0
15,Saudi Arabia,Uruguay,12.25,64.75,23.0
16,France,Senegal,43.0,50.0,7.0
17,Iraq,Norway,7.0,61.0,32.0
18,Argentina,Algeria,73.72,22.0,4.29
19,Austria,Jordan,64.63,16.0,19.37
20,Portugal,Congo DR,75.17,9.0,15.83
21,England,Croatia,41.81,45.59,12.6
22,Ghana,Panama,30.43,8.07,61.5
23,Uzbekistan,Colombia,55.03,30.03,14.93
24,Czechia,South Africa,38.33,43.5,18.17
25,Switzerland,Bosnia-Herzegovina,64.58,26.42,9.0
26,Canada,Qatar,17.0,6.0,77.0
27,Mexico,South Korea,60.83,13.67,25.5
28,United States,Australia,55.58,22.75,21.67
29,Scotland,Morocco,19.08,41.33,39.58
30,Türkiye,Paraguay,79.32,9.75,10.93
31,Brazil,Haiti,91.17,0.0,8.83
32,Netherlands,Sweden,73.17,0.0,26.83
33,Germany,Côte d'Ivoire,90.75,1.0,8.25
34,Ecuador,Curaçao,41.97,25.0,33.03
35,Tunisia,Japan,36.33,47.33,16.33
36,Spain,Saudi Arabia,68.0,10.83,21.17
37,Belgium,Iran,78.98,2.17,18.85
38,Uruguay,Cape Verde,83.0,9.17,7.83
39,New Zealand,Egypt,4.0,21.0,75.0
40,Argentina,Austria,81.05,5.83,13.12
41,France,Iraq,85.0,1.5,13.5
42,Norway,Senegal,60.0,27.75,12.25
43,Jordan,Algeria,52.75,22.71,24.54
44,Portugal,Uzbekistan,70.17,8.0,21.83
45,England,Ghana,51.1,19.74,29.17
46,Panama,Croatia,3.0,86.67,10.33
47,Colombia,Congo DR,80.08,8.5,11.42
48,Switzerland,Canada,78.0,2.0,20.0
49,Bosnia-Herzegovina,Qatar,73.0,4.35,22.65
50,Scotland,Brazil,9.5,56.6,33.9
51,Morocco,Haiti,25.33,8.0,66.67
52,South Africa,South Korea,28.87,27.13,44.0
53,Czechia,Mexico,88.17,7.83,4.0
54,Curaçao,Côte d'Ivoire,50.58,16.96,32.45
55,Ecuador,Germany,22.68,67.25,10.07
56,Japan,Sweden,45.0,24.0,31.0
57,Tunisia,Netherlands,6.0,62.0,32.0
58,Paraguay,Australia,32.92,14.75,52.33
59,Türkiye,United States,79.45,7.67,12.88
60,Norway,France,52.5,31.5,16.0
61,Senegal,Iraq,34.17,8.0,57.83
62,Uruguay,Spain,47.02,19.07,33.92
63,Cape Verde,Saudi Arabia,72.12,10.69,17.19
64,Egypt,Iran,8.0,66.0,26.0
65,New Zealand,Belgium,5.0,69.58,25.42
66,Panama,England,1.0,72.7,26.3
67,Croatia,Ghana,42.17,26.33,31.5
68,Colombia,Portugal,65.2,16.0,18.8
69,Congo DR,Uzbekistan,52.42,28.91,18.67
70,Jordan,Argentina,51.8,19.45,28.75
71,Algeria,Austria,9.5,59.0,31.5
